Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
45,100.0,2,0.0,0,0.0,0.0856887387611147,1500000.0,0.0706870001490238,2,0,0,1,1,1.0
85,125.0,3,4.0,0,4.0,0.0856887387611147,1760000.0,0.0706870001490238,10,0,1,1,0,2.0
100,110.0,3,2.0,0,25.0,0.0227509810739655,2900000.0,0.0706870001490238,2,1,0,0,0,1.0
100,120.0,3,6.0,0,0.0,0.0856887387611147,2485000.0,0.0706870001490238,10,0,1,0,0,1.0
80,90.0,3,1.0,0,0.0,0.0227509810739655,2450000.0,0.0706870001490238,8,0,0,0,0,1.0
147,170.0,4,7.0,0,13.0,0.5912274601361085,2370000.0,0.0706870001490238,11,1,1,0,0,1.0
45,50.0,2,6.0,0,4.0,0.0856887387611147,1100000.0,0.0706870001490238,13,0,0,0,0,1.0
80,90.0,3,1.0,1,4.0,0.0108290695941582,1650000.0,0.0706870001490238,13,0,1,0,0,1.0
175,230.0,5,10.0,0,18.0,0.5912274601361085,5998000.0,0.0706870001490238,12,0,0,0,0,2.0
200,240.0,5,10.0,0,13.0,0.5912274601361085,5998000.0,0.0706870001490238,12,0,1,0,0,2.0
120,150.0,4,1.0,0,25.0,0.0856887387611147,3000000.0,0.0706870001490238,5,1,0,0,0,1.0
149,200.0,5,10.0,0,0.0,0.088122795688242,6900000.0,0.0706870001490238,14,0,1,0,0,2.0
78,100.0,3,9.0,0,0.0,0.5912274601361085,1500000.0,0.0706870001490238,9,0,1,1,0,1.0
76,100.0,3,1.0,0,0.0,0.5912274601361085,1350000.0,0.0706870001490238,9,0,1,1,0,1.0
76,100.0,3,2.0,0,0.0,0.5912274601361085,1700000.0,0.0706870001490238,9,0,1,1,0,1.0
160,210.0,5,1.0,0,0.0,0.5912274601361085,4100000.0,0.0706870001490238,9,0,1,0,0,2.0
125,165.0,3,1.0,0,0.0,0.0227509810739655,2400000.0,0.0706870001490238,1,0,0,0,0,1.0
40,45.0,2,12.0,0,3.0,0.5912274601361085,885000.0,0.0706870001490238,13,1,1,0,0,1.0
50,60.0,2,5.0,1,4.0,0.0856887387611147,1550000.0,0.0706870001490238,13,0,0,0,0,1.0
160,220.0,4,4.0,0,25.0,0.0856887387611147,3200000.0,0.0706870001490238,8,1,1,0,0,1.0
100,120.0,3,2.0,0,25.0,0.0856887387611147,3350000.0,0.0706870001490238,3,0,0,0,0,1.0
85,120.0,3,2.0,0,7.5,0.0856887387611147,2575000.0,0.0706870001490238,8,0,0,0,0,2.0
80,88.0,3,5.0,0,13.0,0.0227509810739655,1500000.0,0.0706870001490238,6,0,0,0,0,1.0
345,360.0,11,2.0,0,7.5,0.5912274601361085,12250000.0,0.0706870001490238,3,0,0,1,0,3.0
85,125.0,5,7.0,0,1.0,0.0856887387611147,2300000.0,0.0706870001490238,14,0,0,0,0,2.0
170,240.0,5,11.0,0,7.5,0.5912274601361085,4620000.0,0.0706870001490238,12,0,0,0,0,2.0
150,175.0,4,0.5,0,13.0,0.5912274601361085,2400000.0,0.0706870001490238,9,1,1,0,0,1.0
