,0
Brüt_Metrekare,0.3329696230671314
Banyo_Sayısı,0.23710072911987434
Şehir,0.161793832548794
Net_Metrekare,0.05037889500087701
Binanın_Kat_Sayısı,0.04581488619702168
Binanın_Yaşı,0.0329502783140215
Bulunduğu_Kat,0.026527486622450927
Isıtma_Tipi,0.024167279340765343
rooms_per_m2,0.023918603247222826
floor_ratio,0.01841462392578972
age_bucket,0.015624133511547254
Oda_Sayısı,0.01011411943563388
Tapu_Durumu,0.00910388737164975
Yatırıma_Uygunluk,0.004085601953183538
Eşya_Durumu,0.002567952515369953
Takas,0.0024425282697893478
Kullanım_Durumu,0.002025539558877566
